image,label,prompt,response
data/vlmdata/img_0.png,no_diabetic_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The image is an ophthalmic image, which means it is a photograph or visual representation of the eye or its surrounding structures. The image is likely taken using an ophthalmoscope, a specialized instrument used to examine the eye. The image may show various structures of the eye, such as the retina, optic nerve, and surrounding tissues. To provide a brief description of the image, you could describe the appearance of the eye structures, any visible abnormalities, or any notable features. However, without more information or context, it is difficult to provide a specific diagnosis."
data/vlmdata/img_0.png,no_diabetic_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows no abnormalities.
data/vlmdata/img_0.png,no_diabetic_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",{'Description': 'The image shows a white-centered hemorrhage in the right eye. This finding is consistent with a diagnosis of central retinal vein occlusion (CRVO).
data/vlmdata/img_1.png,no_diabetic_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",{'Description': 'The ophthalmic image shows a lesion in the right eye. The lesion appears to be a pigmented lesion with a central white spot. The image is taken using a 35 mm lens.
data/vlmdata/img_1.png,no_diabetic_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows no abnormalities.
data/vlmdata/img_1.png,no_diabetic_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a small, well-defined, and homogenous white lesion in the right macula. This finding is consistent with a diagnosis of a macular lesion."
data/vlmdata/img_2.png,no_diabetic_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The ophthalmic image is a retinal fundus image, which is a photograph of the back of the eye. It provides a view of the retina, optic disc, and surrounding structures. The image is taken using a retinal camera, which is a specialized instrument designed to capture high-resolution images of the retina. The image can be used to assess the health of the retina and detect any abnormalities or diseases that may be present."
data/vlmdata/img_2.png,no_diabetic_retinopathy,"[INST] <image>
What abnormalities are visible? If none are visible, say so clearly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]",The image shows a normal retina and optic nerve. There are no visible abnormalities in the image.
data/vlmdata/img_2.png,no_diabetic_retinopathy,"[INST] <image>
Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","{'Description': 'The image shows a retinal hemorrhage, which is a bleeding event in the retina. This can be caused by various factors such as trauma, blood vessel abnormalities, or certain medical conditions."
data/vlmdata/img_3.png,no_diabetic_retinopathy,"[INST] <image>
Describe this ophthalmic image briefly. Answer in json format like this: {'Description': 'your description', 'Diagnosis': 'diagnosis label'} [/INST]","The ophthalmic image is a fundus photograph, which is a type of retinal examination. It provides a detailed view of the retina, the light-sensitive tissue at the back of the eye. In this case, the image is from a patient with a diagnosis of retinal detachment. The fundus photograph can help visualize the detachment and any associated abnormalities in the retina."
